Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1974
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1974
BRANCAS E ROSADAS,Delaware,0.0,0.0,1974
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1974
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1974
BRANCAS E ROSADAS,Goethe,371399.0,0.0,1974
BRANCAS E ROSADAS,IAC,0.0,0.0,1974
BRANCAS E ROSADAS,Juliana,0.0,0.0,1974
BRANCAS E ROSADAS,Martha,17486.0,0.0,1974
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1974
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1974
BRANCAS E ROSADAS,Niagara,2476453.0,0.0,1974
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1974
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1974
BRANCAS E ROSADAS,Poloske,0.0,0.0,1974
BRANCAS E ROSADAS,Seleções,0.0,0.0,1974
BRANCAS E ROSADAS,Seyve Villard,0.0,0.0,1974
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1974
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1974
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1974
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1974
TINTAS_TOTAL,,0.0,282003228.0,1975
TINTAS,Bacarina,101454.0,0.0,1975
TINTAS,Bailey,0.0,0.0,1975
TINTAS,Bordo,16023998.0,0.0,1975
TINTAS,Bourdin (S),0.0,0.0,1975
TINTAS,BRS Carmen,0.0,0.0,1975
TINTAS,BRS Cora,0.0,0.0,1975
TINTAS,BRS Magna,0.0,0.0,1975
TINTAS,BRS Margot,0.0,0.0,1975
TINTAS,BRS Morena,0.0,0.0,1975
TINTAS,BRS Núbia,0.0,0.0,1975
TINTAS,BRS Rúbea,0.0,0.0,1975
TINTAS,BRS Violeta,0.0,0.0,1975
TINTAS,BRS Vitória,0.0,0.0,1975
TINTAS,Champagnon (Champanheta),0.0,0.0,1975
TINTAS,Coleções,0.0,0.0,1975
TINTAS,Concord,7361018.0,0.0,1975
TINTAS,Concord clone 30,0.0,0.0,1975
TINTAS,Couderc,4052782.0,0.0,1975
TINTAS,Cynthiana(1),544666.0,0.0,1975
TINTAS,Herbemont,48754240.0,0.0,1975
TINTAS,IAC 138022,0.0,0.0,1975
TINTAS,Isabel,193394592.0,0.0,1975
TINTAS,Isabel Precoce,0.0,0.0,1975
TINTAS,Jacquez,513846.0,0.0,1975
TINTAS,Kyoko,0.0,0.0,1975
TINTAS,Landot,104110.0,0.0,1975
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1975
TINTAS,Oberlin,17264.0,0.0,1975
TINTAS,Othello,53172.0,0.0,1975
TINTAS,Paco,0.0,0.0,1975
TINTAS,Patricia,0.0,0.0,1975
TINTAS,Seibel,11082086.0,0.0,1975
